,country,location_name,region,latitude,longitude,timezone,last_updated,temperature_celsius,condition_text,pressure_mb,humidity,altitude
,India,Ashoknagar,Madhya Pradesh,24.57,77.72,Asia/Kolkata,2023-08-29 10:45,27.5,Partly cloudy,1008.0,67,501.0
,India,Raisen,Madhya Pradesh,23.33,77.8,Asia/Kolkata,2023-08-29 10:45,27.5,Sunny,1008.0,70,444.0
,India,Chhindwara,Madhya Pradesh,22.07,78.93,Asia/Kolkata,2023-08-29 10:45,26.3,Partly cloudy,1009.0,70,688.0
,India,Betul,Madhya Pradesh,21.86,77.93,Asia/Kolkata,2023-08-29 10:45,25.6,Cloudy,1009.0,76,657.0
,India,Hoshangabad,Madhya Pradesh,22.75,77.72,Asia/Kolkata,2023-08-29 10:45,27.2,Cloudy,1009.0,74,303.0
,India,Sehore,Madhya Pradesh,23.2,77.08,Asia/Kolkata,2023-08-29 10:45,25.9,Cloudy,1009.0,77,500.0
,India,Jabalpur,Madhya Pradesh,23.17,79.95,Asia/Kolkata,2023-08-29 10:45,28.0,Mist,1010.0,70,408.0
,India,Narsimhapur,Madhya Pradesh,22.95,79.2,Asia/Kolkata,2023-08-29 10:45,27.7,Sunny,1008.0,71,358.0
,India,Panna,Madhya Pradesh,24.72,80.2,Asia/Kolkata,2023-08-29 10:45,30.0,Sunny,1007.0,60,405.0
,India,Ujjain,Madhya Pradesh,23.18,75.77,Asia/Kolkata,2023-08-29 10:45,26.0,Mist,1012.0,74,494.0
,India,Rewa,Madhya Pradesh,24.53,81.3,Asia/Kolkata,2023-08-29 10:45,30.6,Partly cloudy,1006.0,57,308.0
,India,Dindori,Madhya Pradesh,22.95,81.08,Asia/Kolkata,2023-08-29 10:45,30.3,Patchy rain possible,1008.0,55,671.0
,India,Balaghat,Madhya Pradesh,21.78,80.25,Asia/Kolkata,2023-08-29 10:45,28.3,Partly cloudy,1008.0,67,296.0
,India,Barwani,Madhya Pradesh,22.03,74.9,Asia/Kolkata,2023-08-29 10:45,27.2,Overcast,1009.0,65,178.0
,India,Satna,Madhya Pradesh,24.58,80.83,Asia/Kolkata,2023-08-29 10:45,30.1,Partly cloudy,1007.0,58,321.0
,India,Chhatarpur,Madhya Pradesh,24.9,79.6,Asia/Kolkata,2023-08-29 10:45,30.0,Sunny,1007.0,60,305.0
,India,Indore,Madhya Pradesh,22.72,75.83,Asia/Kolkata,2023-08-29 10:45,26.0,Mist,1012.0,74,552.0
,India,Ratlam,Madhya Pradesh,23.32,75.07,Asia/Kolkata,2023-08-29 10:45,26.5,Partly cloudy,1009.0,64,491.0
,India,Harda,Madhya Pradesh,22.33,77.1,Asia/Kolkata,2023-08-29 10:45,28.4,Partly cloudy,1009.0,64,286.0
,India,Sagar,Madhya Pradesh,23.83,78.72,Asia/Kolkata,2023-08-29 10:45,26.9,Sunny,1008.0,71,512.0
,India,Neemuch,Madhya Pradesh,24.48,74.87,Asia/Kolkata,2023-08-29 10:45,26.7,Sunny,1008.0,66,492.0
,India,Tikamgarh,Uttar Pradesh,24.73,78.83,Asia/Kolkata,2023-08-29 10:45,28.1,Patchy rain possible,1007.0,65,357.0
,India,Guna,Madhya Pradesh,24.65,77.32,Asia/Kolkata,2023-08-29 10:45,27.4,Sunny,1008.0,69,479.0
,India,Dewas,Madhya Pradesh,22.97,76.07,Asia/Kolkata,2023-08-29 10:45,26.0,Mist,1012.0,74,547.0
,India,Mandsaur,Madhya Pradesh,24.07,75.07,Asia/Kolkata,2023-08-29 10:45,27.0,Sunny,1009.0,66,441.0
,India,Khargone,Madhya Pradesh,21.82,75.6,Asia/Kolkata,2023-08-29 10:45,27.2,Overcast,1009.0,65,245.0
,India,Sheopur,Madhya Pradesh,25.67,76.7,Asia/Kolkata,2023-08-29 10:45,29.9,Sunny,1007.0,57,237.0
,India,Morena,Madhya Pradesh,26.5,78.0,Asia/Kolkata,2023-08-29 10:45,31.6,Sunny,1006.0,53,182.0
,India,Bhind,Madhya Pradesh,26.56,78.79,Asia/Kolkata,2023-08-29 10:45,32.4,Patchy rain possible,1005.0,50,156.0
,India,Jhabua,Madhya Pradesh,22.77,74.6,Asia/Kolkata,2023-08-29 10:45,27.3,Cloudy,1009.0,63,325.0
,India,Seoni,Madhya Pradesh,22.08,79.53,Asia/Kolkata,2023-08-29 10:45,26.7,Partly cloudy,1008.0,69,603.0
,India,Khandwa,Madhya Pradesh,21.83,76.33,Asia/Kolkata,2023-08-29 10:45,28.2,Cloudy,1009.0,64,319.0
,India,Umaria,Madhya Pradesh,23.53,80.83,Asia/Kolkata,2023-08-29 10:45,27.0,Patchy rain possible,1007.0,74,457.0
,India,Gwalior,Madhya Pradesh,26.22,78.18,Asia/Kolkata,2023-08-29 10:45,31.1,Sunny,1006.0,55,215.0
,India,Damoh,Madhya Pradesh,23.83,79.45,Asia/Kolkata,2023-08-29 10:45,28.8,Sunny,1007.0,64,379.0
,India,Dhar,Madhya Pradesh,22.6,75.3,Asia/Kolkata,2023-08-29 10:45,26.0,Mist,1012.0,74,557.0
,India,Katni,Orissa,20.3,85.72,Asia/Kolkata,2023-08-29 10:45,32.0,Mist,1005.0,63,51.0
,India,Sidhi,Madhya Pradesh,24.42,81.88,Asia/Kolkata,2023-08-29 10:45,30.1,Partly cloudy,1006.0,60,270.0
,India,Alirajpur,Madhya Pradesh,22.3,74.35,Asia/Kolkata,2023-08-29 10:45,28.5,Cloudy,1009.0,61,291.0
,India,Bhopal,Madhya Pradesh,23.27,77.4,Asia/Kolkata,2023-08-29 10:45,26.9,Partly cloudy,1009.0,72,503.0
,India,Rajgarh,Rajasthan,27.23,76.63,Asia/Kolkata,2023-08-29 10:45,30.8,Sunny,1006.0,53,314.0
,India,Mandla,Madhya Pradesh,22.6,80.38,Asia/Kolkata,2023-08-29 10:45,27.0,Patchy rain possible,1008.0,72,449.0
,India,Shajapur,Madhya Pradesh,23.43,76.27,Asia/Kolkata,2023-08-29 10:45,26.9,Sunny,1009.0,67,443.0
,India,Shivpuri,Madhya Pradesh,25.43,77.65,Asia/Kolkata,2023-08-29 10:45,27.7,Sunny,1007.0,67,470.0
